Publication Number,Publication Date,Title,Priority Data,IPC,Applicants,Inventors,FP Image
EP0760209,06.03.1997,Method of manufacturing baked products,"[95113866 1995-09-04T23:59:59.000Z EP, 4023294 1994-03-11T23:59:59.000Z JP]",A21D 13/08;A21D 8/04;A21D 2/16;A21D 8/04;A21D 13/00;A21D 13/08,AJINOMOTO KK,KURAISHI CHIYA;ISHII CHIHO;SOEDA TAKAHIKO,
CA2776837,22.04.2011,COOKING DEVICE,[09012885.1 2009-10-12T23:59:59.000Z EP],A47J 37/04,JOHN BEAN TECHNOLOGIES AB,"WILSON, ALEC;PETRIE, ROBERT JAMES",
CA2737586,02.04.2010,BLENDED FLUOROPOLYMER COMPOSITIONS AND COATINGS FOR FLEXIBLE SUBSTRATES,"[61/100,311 2008-09-26T23:59:59.000Z US, 61/109,952 2008-10-31T23:59:59.000Z US, 61/145,433 2009-01-16T23:59:59.000Z US, 61/145,875 2009-01-20T23:59:59.000Z US]",C08L 27/18;C09D 127/18,WHITFORD CORPORATION,"HARVEY, LEONARD W.;BRAIN, HELEN L.",
CA2172714,07.04.1995,QUICK-COOKING OVEN,"[08/128,897 1993-09-29T23:59:59.000Z US]",F24C 1/04;F24C 15/16;F24C 15/32;H05B 6/68;H05B 6/80,"TURBOCHEF, INC.","MCKEE, PHILIP R.;WINKELMANN, EARL R.",
CA2398957,10.08.2001,HUMAN HERPESVIRUS 6A AND 6B TRANSFER FACTORS FOR THE TREATMENT OF CHRONIC FATIGUE SYNDROME AND MULTIPLE SCLEROSIS,"[60/179,647 2000-02-02T23:59:59.000Z US]",A61K 39/245;A61K 35/76;A61K 38/19;A61K 45/08;A61P 25/00,TOMORROW'S FOODS LIMITED,"WILSON, GREGORY B.;SHULER, R. RILEY",
CA1230515,23.12.1987,HYDROLYZED PROTEIN ISOLATE AND PROCESS OF PRODUCING,"[544,912 1983-10-24T23:59:59.000Z US]",A23J 3/00;A23C 20/00;A23J 3/34,,"CIPOLLO, KENT L.;CHO, IUE C.;WARNER, GREGORY P.",
CA1263680,06.12.1989,COOKING APPARATUS,,A47J 37/04;A23L 1/01;A23L 1/10,,"WELLS, HAROLD D.",
za1988/09635,30.11.1989,CEREAL PRODUCT,"[P16117  AU, P16117 1987-12-29T23:59:59.000Z AU]",A23J;A23J,GEORGE WESTON FOODS LIMITED,JENNIFER ANNE ROBERTSON;JOHN DAVID TOMLINSON;PETER IVON SHORT;LISA HELEN O'HARE,
za1991/00736,25.12.1991,CONTROLLED HEATING OF FOODSTUFFS BY MICROWAVE ENERGY,"[2 009 207-6  CA, 2 009 207-6 1990-02-02T23:59:59.000Z CA, 535,168  US, 535,168 1990-06-08T23:59:59.000Z US]",B32B;B65D;B65D;A47J;B32B;A47J,BECKETT INDUSTRIES INC,D. GREGORY BECKETT,
CA2582523,14.04.2006,METHOD AND SYSTEM FOR PROCESSING QUERIES INITIATED BY USERS OF MOBILE DEVICES,"[10/957,115 2004-09-30T23:59:59.000Z US]",G06F 17/30,"GOOGLE, INC.","LING, BENJAMIN C.;WU, JIE J.;DENG, JIAN GONG;FENG, HANPING",
CA1337772,20.12.1995,AIR FRYER,,F24C 7/00;A47J 37/01;A47J 39/00,,"ERICKSON, CHAD S.",
CA1223773,08.07.1987,AUTOMATED APPARATUS FOR MAKING FOOD PRODUCTS,[8207438-6 1982-12-28T23:59:59.000Z SE],A21C 3/00;A21B 1/22;A21B 7/00;A21C 1/00,,"HEDENBERG, GUNNAR",
CA1071009,06.02.1980,MOIST PET FOOD AND PROCESS FOR PREPARING SAME,,A23K 1/18;A23K 1/04,,"BERNOTAVICZ, JOHN W.",
CA1073746,19.03.1980,FOOD OVEN,,A47J 27/14,,"ZIMMER, ELVIS S.;HASSELL, DAVID A.",
CA1224354,22.07.1987,COATED FOOD PRODUCT AND METHOD OF MAKING SAME,,A23L 1/00;A23L 1/0532,,"EARLE, ROLAND D.;MCKEE, DONALD H.",
CA1313493,10.02.1993,METHOD FOR MAKING SELECTIVELY METALLIZED MICROWAVE HEATING PACKAGES,"[008,004 1987-01-29T23:59:59.000Z US]",B32B 3/18;B32B 7/12;B32B 27/10;B65D 81/34;H05B 6/64,,"SCOTTRUSSELL, NORMAN M.;ALLEN, ROBERT L.",
CA1330274,22.06.1994,CEREAL PRODUCT,[PI6117 1987-12-29T23:59:59.000Z AU],A23J 1/12;A23J 3/18;A23J 3/32,,"ROBERTSON, JENNIFER ANN;SHORT, PETER IVON;TOMLINSON, JOHN DAVID;O'HARE, LISA HELEN",
il142564,02.08.2006,METHOD AND SYSTEM FOR AN EXTENSIBLE MACRO LANGUAGE,[60/104682 1998-10-16T23:59:59.000Z US],,"COMPUTER ASSOCIATES THINK, INC.",,
CA2683662,14.05.2010,EASY OPENING FEATURE FOR A TAPED CARTON AND METHOD THEREOF,"[12/270,222 2008-11-13T23:59:59.000Z US]",B65D 5/54,KRAFT FOODS GLOBAL BRANDS LLC,"CARMICHAEL, GARY HERBERT",
CA2346925,28.04.2000,METHOD AND SYSTEM FOR AN EXTENSIBLE MACRO LANGUAGE,"[60/104,682 1998-10-16T23:59:59.000Z US]",G06F 17/30;G06F 9/46,"COMPUTER ASSOCIATES THINK, INC.","DEFFLER, TAD A.;MINTZ, ERIC",
CA2493662,20.02.2004,INTERNET-BASED SUBMISSION OF CABLE NETWORK CONTENT,"[60/402,052 2002-08-09T23:59:59.000Z US]",H04N 7/025,"BIES, RICHARD J.","BIES, RICHARD J.",
CA2316743,01.03.2002,MANAGED DATABASE PRIVACY SYSTEM AND METHOD,,G06F 17/30;G06Q 30/02;G06F 21/24,ZERO-KNOWLEDGE SYSTEMS INC.,"HILL, AUSTIN;KATIRAI, HOOMAN;FAVVAS, GEORGE",
CA2345805,04.11.2002,ENTERPRISE PRIVACY SYSTEM AND METHOD,,G06F 17/30,ZERO-KNOWLEDGE SYSTEMS INC.,"FAVVAS, GEORGE;KATIRAI, HOOMAN",
EP0834798,09.04.1998,Integrated content guide for interactive selection of content and services on personal computer systems,[72664896 1996-10-07T23:59:59.000Z US],G06F 3/14;G06F 3/033;G06Q 30/00;G09G 5/00;H04N 5/445;H04N 7/16,COMPAQ COMPUTER CORP,STAUTNER JOHN P;LAWSON RICHARD J;BELMONT BRIAN V,
EP1993929,27.11.2008,"CONSTRUCTION FOR HEATING, BROWNING AND CRISPING A FOOD ITEM IN A MICROWAVE OVEN","[2007005818 2007-03-06T23:59:59.000Z US, 78069906 2006-03-09T23:59:59.000Z US]",B65D 81/34,GRAPHIC PACKAGING INT INC,KEEFE DANIEL J;LAI LAURENCE M C,
EP2760008,31.07.2014,Mobile image display system,"[11734281 2011-01-18T23:59:59.000Z EP, 29657310 2010-01-20T23:59:59.000Z US]",G09F 11/16;B65G 15/00;G09F 9/30;G09F 11/12;G09F 11/26;G09F 19/02;G09F 19/22;G09F 21/00;G09G 3/20;G09G 5/00,IC MEDIA TECHNOLOGY INC,HINE LAURENCE JOHN,
WO2003003347,10.01.2003,PATTERN CROSS-MATCHING,[0115872.4 28.06.2001 GB],G10L 15/193;G10L 15/22;G10L 15/26,"VOX GENERATION LIMITED;HOROWITZ, David;PHELAN, Peter;ROBINSON, Kerry","HOROWITZ, David;PHELAN, Peter;ROBINSON, Kerry",
WO1991005448,19.04.1991,IMPROVEMENTS RELATING TO PACKAGING CONTAINERS,[8921754.1 27.09.1989 GB],B65D 81/34,"WADDINGTONS CARTONS LIMITED;WOODS, Kenneth, David","WOODS, Kenneth, David",
WO2011116450,30.09.2011,"METHOD FOR FORMING A FIRE RESISTANT CELLULOSE PRODUCT, AND ASSOCIATED APPARATUS",,D21H 21/14;D21H 17/63;D21J 1/00;D21J 3/00,"BLMH TECHNOLOGIES INC.;BAROUX, Daniel","BAROUX, Daniel",
WO2010027922,12.03.2010,RECIRCULATING END COVER PLATES FOR A CONVEYOR OVEN,"[61/094,423 05.09.2008 US]",F24C 15/32,"THE MIDDLEBY CORPORATION;SCHJERVEN, William, S.;CHMIOLA, Theodore, James","SCHJERVEN, William, S.;CHMIOLA, Theodore, James",
WO2011042921,15.04.2011,CONTAINER FOR PACKAGING,,B65D 1/34;B65D 81/32;B65D 75/32,"G. MONDINI SPA;MONDINI, Giovanni","MONDINI, Giovanni",
WO1998051201,20.11.1998,STACK OF TRAYS WHICH CAN BE SUPERIMPOSED ON SUPPORT MEMBERS AND CONNECTED BY A CROSSCUTTING HANDLE,[NA97A000023 16.05.1997 IT],A47G 23/06;A47J 47/14,"MAMONE, Luigi","MAMONE, Luigi",
WO1998023903,05.06.1998,BLOWN AIR DISTRIBUTOR FOR A CONVECTION OVEN,"[2,191,786 29.11.1996 CA]",F24C 15/32,"ZESTO FOOD EQUIPMENT MANUFACTURING INC.;MOSHONAS, Georges;SILVA, Waldo;VATISTA, Georges","MOSHONAS, Georges;SILVA, Waldo;VATISTA, Georges",
WO2009151968,18.12.2009,MULTI-COMPARTMENT RESEALABLE STORAGE BAG,"[61/056,440 28.05.2008 US]",B65D 30/22;B65D 33/25;B65D 30/10;B65D 30/02,"BRAY, MaBelle","BRAY, MaBelle",
WO2006091564,01.09.2006,ICONIC DISPLAY OF MARKERS FOR A METER,"[60/655,104 22.02.2005 US]",A61B 5/00,"BAYER HEALTHCARE LLC;GUARINO, Julianne, M.;HUANG, Dijia;BROWN, Daniel, V.;BURNS, Lawrence, J.","GUARINO, Julianne, M.;HUANG, Dijia;BROWN, Daniel, V.;BURNS, Lawrence, J.",
WO2007108708,28.09.2007,PROCESSED CHEESE COMPRISING NON-DENATURED AND DENATURED WHEY PROTEIN,"[546105 23.03.2006 NZ, 546530 11.04.2006 NZ]",A23C 19/08;A23C 19/082;A23C 21/06,"FONTERRA CO-OPERATIVE GROUP LIMITED;WILES, Peter;LEE, Siew, Kim;ANEMA, Skelte, Gerald;HAVEA, Palatasa","WILES, Peter;LEE, Siew, Kim;ANEMA, Skelte, Gerald;HAVEA, Palatasa",
WO2007038181,06.04.2007,BIOMETRIC CONTROL FOR KITCHEN APPLIANCE,"[11/233,299 22.09.2005 US]",G06K 9/00,"TECHNOLOGY LICENSING CORPORATION;BRENNAN, Steve;FLYNN, William;KOETHER, George, F.;MUSIAL, Edward, J.","BRENNAN, Steve;FLYNN, William;KOETHER, George, F.;MUSIAL, Edward, J.",
WO2002076238,04.10.2002,WALTONS,,A23L 1/29,"RYSZK, Dorota","RYSZK, Dorota",
WO2002039368,17.05.2002,METHOD FOR PROCESSING CREDIT CARD PAYMENTS MADE BY CUSTOMERS TO MERCHANTS,"[60/247,353 10.11.2000 US]",G06Q 20/00;G06Q 30/00,"KARGMAN, James, B.","KARGMAN, James, B.",
WO2002076872,04.10.2002,METHOD AND APPARATUS FOR HANDLING A STACK OF OBJECTS,[0107480.6 24.03.2001 GB],B25J 15/10;B65G 47/90,"KHODABANDEHLOO, Koorosh","KHODABANDEHLOO, Koorosh",
WO2002013628,22.02.2002,APPARATUS FOR DISPENSING HEATED COMESTIBLES,[2000/4206 17.08.2000 ZA],A23L 1/18;G07F 9/10,"BEAGLE, Mark, Nathan;RAMSAY, Gordon, Peter","BEAGLE, Mark, Nathan;RAMSAY, Gordon, Peter",
WO1993004328,05.03.1993,INFRARED CONVEYOR OVEN,"[744,166 13.08.1991 US]",A21B 1/48;A21B 2/00,G.S. BLODGETT CORPORATION,"ALDEN, Lorne, B.",
WO1996007057,08.03.1996,VENTILATED COOKING OVEN,"[08/298,291 31.08.1994 US]",A21B 1/48;F24C 15/20,"G.S. BLODGETT CORPORATION;AVTEC INDUSTRIES, INC.","COLE, J., Timothy;RUDZINSKI, David",
WO1999020116,30.04.1999,FOOD PRODUCT TRAY WITH EXPANDABLE SIDE PANELS,"[08/955,642 22.10.1997 US]",B65D 5/20;B65D 5/30;B65D 5/355;B65D 81/34,ROCK-TENN COMPANY,"WISCHUSEN, Henry, III",
WO1998054517,04.12.1998,RECYCLING COOKING OVEN WITH CATALYTIC CONVERTER,"[08/863,671 27.05.1997 US]",F24C 15/32;H05B 6/68;H05B 6/80,"TURBOCHEF, INC.","McKEE, Philip, R.;WINKELMAN, Earl, R.",
WO2004091248,22.10.2004,METHOD AND SYSTEM FOR MOBILE CALORIE COUNT,[2003903125 10.04.2003 AU],H04L 29/08,"MICKLESS PTY LTD;MARGARITIS, James","MARGARITIS, James",
WO2003015538,28.02.2003,CONTROLLED-VISCOSITY FOOD FLAVORING SYSTEM,"[09/930,226 16.08.2001 US]",A23C 19/093;A23L 1/0522;A23L 1/0524;A23L 1/0526;A23L 1/0532;A23L 1/0534;A23L 1/054;A23L 1/0562;A23L 1/22;A23L 1/24;A23L 1/39,"KERRY INC.;MORGAN, Ellen, K.;KLEMASZEWSKI, Joseph, L.;O'SULLIVAN, Maurice;IMMEL, Irwin, W.","MORGAN, Ellen, K.;KLEMASZEWSKI, Joseph, L.;O'SULLIVAN, Maurice;IMMEL, Irwin, W.",
WO2003088768,31.10.2003,FLAVOURING COMPOSITIONS CONTAINING N-ACETYLGLYSINE,[02076575.6 22.04.2002 EP],A23L 1/227,"SOCIETE DES PRODUITS NESTLE S.A.;GRIGOROV, Martin;SCHLICHTHERLE-CERNY, Hedwig;AFFOLTER, Michael;KOCHHAR, Sunil;JUILLERAT, Marcel, Alexandre","GRIGOROV, Martin;SCHLICHTHERLE-CERNY, Hedwig;AFFOLTER, Michael;KOCHHAR, Sunil;JUILLERAT, Marcel, Alexandre",
WO2001093149,07.12.2001,THIRD PARTY PAYMENT IN E-COMMERCE,"[60/207,223 26.05.2000 US, 09/741,011 21.12.2000 US]",G06Q 20/00;G06Q 30/00,TELEFONAKTIEBOLAGET LM ERICSSON (publ),"LINDSKOG, Helena;NILSSON, Mikael",
WO2003063620,08.08.2003,MOISTURE RESISTANT BARRIER,[1019890 01.02.2002 NL],A21D 13/00;A21D 15/08;A23L 1/00;A23P 1/08,"NEDERLANDSE ORGANISATIE VOOR TOEGEPAST- NATUURWETENSCHAPPELIJK ONDERZOEK TNO;DE JONG, Govardus, Adrianus, Hubertus;DON, Johannes, Andreas, Clyde;BOUMANS, Johannes, Wilhelmus, Leonardus;NOORT, Martijn, Willem-Jan;PLIJTER-SCHUDDEMAT, Johanna;PLIJTER, Johannes, Jozef;VAN SON, Matheus, Wilhelmus, Louis, Jozef","DE JONG, Govardus, Adrianus, Hubertus;DON, Johannes, Andreas, Clyde;BOUMANS, Johannes, Wilhelmus, Leonardus;NOORT, Martijn, Willem-Jan;PLIJTER-SCHUDDEMAT, Johanna;PLIJTER, Johannes, Jozef;VAN SON, Matheus, Wilhelmus, Louis, Jozef",
WO2002005598,18.01.2002,COMBINATION CONVECTION/MICROWAVE OVEN,"[09/612,167 08.07.2000 US]",H05B 6/80,THE GARLAND GROUP,"DAY, William;HARTER, David;MOLLOY, Paul",
WO2005038626,29.04.2005,ADVENTURE FIGURE SYSTEM AND METHOD,"[60/512,250 17.10.2003 US, 60/541,304 02.02.2004 US, 10/966,318 14.10.2004 US]",A63H 3/00,"BIG BANG IDEAS, INC.","SHROCK, Joel;BROWN, Matthew;TOBIN, Adam;GULKO, Brad",
WO2006084638,18.08.2006,"METHOD FOR BAKING PASTE OUTSIDE AN OVEN, THE THUS PRODUCED PANCAKES AND METHOD FOR SERVING THE SAME",[2005/0073 09.02.2005 BE],A21B 5/03;A21B 1/00,"BERKVENS, Yannick","BERKVENS, Yannick",
WO2005100017,28.10.2005,AIR CONTROL FOR A BRICK OVEN,"[60/561,730 13.04.2004 US, 11/029,754 05.01.2005 US]",A47J 37/00;A23L 1/00,"STOCKLEY ENTERPRISES, LLC.;STOCKLEY, Edward, E.","STOCKLEY, Edward, E.",
WO2000078194,29.12.2000,HEAT STORAGE ARTICLE,"[09/337,573 22.06.1999 US]",A47J 39/02,THE UNIVERSITY OF DAYTON,"HUFF, Lloyd",
WO1999025546,28.05.1999,GUIDE MECHANISM FOR A PACKAGING MACHINE,[9724044.4 14.11.1997 GB],B31B 5/80,"THE MEAD CORPORATION;GENDRE, Patrick","GENDRE, Patrick",
WO2001000036,05.01.2001,SKEWER SHAPED FOOD PRODUCT,[RM99A000415 28.06.1999 IT],A21D 2/36;A21D 13/00;A21D 13/04,"TRABUCCO, Elio","TRABUCCO, Elio",
WO2011052970,06.05.2011,NON-FERMENTED STUFFED PANCAKE MIX COMPOSITION AND METHOD FOR MAKING A STUFFED PANCAKE USING THE SAME,[10-2009-0102502 27.10.2009 KR],A21D 13/06;A21D 2/00,"CJ CHEILJEDANG CORPORATION;KIM, Young Jae;LEE, Min Youl;JEUNG, Keun Gu;SONG, Sun Seob;LIM, Chun Son","KIM, Young Jae;LEE, Min Youl;JEUNG, Keun Gu;SONG, Sun Seob;LIM, Chun Son",
WO2008084912,18.07.2008,"COOKING APPLIANCE, CONTROLLING SYSTEM FOR COOKING APPLIANCE AND CONTROLLING METHOD FOR COOKING APPLIANCE","[10-2007-0003283 11.01.2007 KR, 10-2007-0003285 11.01.2007 KR, 10-2007-0003299 11.01.2007 KR, 10-2007-0007801 25.01.2007 KR]",F24C 7/00,"LG ELECTRONICS INC.;SHIM, Mi Hwa;PARK, Jun Hyun;YI, Soo Cheol;PARK, Won Kyoung","SHIM, Mi Hwa;PARK, Jun Hyun;YI, Soo Cheol;PARK, Won Kyoung",
WO2014143537,19.09.2014,WRIST ALIGNMENT DEVICE FOR STRINGED MUSICAL INSTRUMENTS,"[US 20130315 13/834,376]",G09B 15/06;G10D 1/00;G10D 3/00,"LINQUIST, Michelle, Darlene","LINQUIST, Michelle, Darlene",
EP1732739,21.12.2006,METHOD AND ARRANGEMENT FOR PORTION CUTTING OF FOOD ITEMS,"[200400552 2004-04-05T23:59:59.000Z DK, 2005000194 2005-03-22T23:59:59.000Z DK]",B26D 11/00;B26D 3/18;B26D 5/00;B26D 7/30,SCANVAEGT INT AS,NIELSEN ULRICH CARLIN,
EP0754835,23.01.1997,Disposable curtain for interiors,"[IT1995TS00006U  , TS950006U 1995-06-21T23:59:59.000Z IT]",A47H 23/02;E06B 9/262;A47H 23/02;E06B 9/262,SIROTICH RENATA,SIROTICH RENATA;SANCIN FABIO,
EP1052455,16.11.2000,Filter for the elimination of particulate in exhaust fumes,[GE990050 1999-05-12T23:59:59.000Z IT],F23J 15/02;B01D 45/14;B01D 47/02;B01D 50/00;F23J 15/02,MORELLO FORNI S A S,MORELLO MAIRO,
EP1234505,29.08.2002,Filled crepe products and the process for their preparation,"[01301633 2001-02-22T23:59:59.000Z EP, 02250429 2002-01-22T23:59:59.000Z EP]",A21D 13/00;A21D 13/08;A21D 15/02;A21D 15/08,UNILEVER PLC;UNILEVER NV,PANAIOLI SANDRO;SIMEONE VALERIO,
EP1271910,03.01.2003,Communication system with internal packet switching and method for transmitting and switching data using said system,[01440183 2001-06-21T23:59:59.000Z EP],H04M 7/00;H04Q 3/58;H04L 12/56;H04M 7/00,CIT ALCATEL,MOUTON MICHEL;GASS RAYMOND,
EP0139900,09.05.1985,A frozen food for frying.,[14603183 1983-08-10T23:59:59.000Z JP],A23L 1/176;A21D 13/00;B65D 85/78;A23L 1/00;A23L 1/01;A23P 1/08,TAIYO FISHERY CO LTD,TAKAHASHI KOI;ITO NORIKO,
EP0000955,08.03.1979,METHOD FOR BROWNING FOODS IN A MICROWAVE OVEN,[82907477 1977-08-30T23:59:59.000Z US],G01D 21/02 -;G05D 22/02 B;H05B 6/68 A;G05D 22/02;H05B 6/68,"LITTON SYSTEMS, INC.","BUCK, RONALD G.",
EP2444928,26.04.2012,"Method, system and apparatus for associating vendor data with keywords stored in a mobile electronic device",[10186414 2010-10-04T23:59:59.000Z EP],G06Q 30/00,RESEARCH IN MOTION LTD,IERULLO SALVATORE;MARKS BRADLEY MICHAEL,
EP0452279,17.10.1991,"OVEN TO BAKE PASTRY PRODUCTS, BREAD AND THE LIKE",[342190 1990-03-30T23:59:59.000Z IT],A21B 1/40;A21B 1/06;A21B 1/06;A21B 1/40,TAG FORNI S.R.L.,"ZAMBOTTO, PAOLO;BERTUETTI, DAVIDE",
EP0493896,09.07.1992,Method and circuitry for routing a call.,"[63604990 1990-12-31T23:59:59.000Z US, 65015591 1991-02-04T23:59:59.000Z US]",H04Q 3/00;H04M 3/00;H04Q 3/00,AMERICAN TELEPHONE & TELEGRAPH,READING CRAIG ALAN;SPRAGUE DAVID LEE;WILSON LANCE WAYNE,
EP0919132,03.06.1999,Procedure for the production of milk and milk derivatives free of lactose,[9700847 1997-05-16T23:59:59.000Z ES],A23C 9/12;A23C 1/00;A23C 9/12;A23C 19/032;A23C 19/032,PLUMLEY KEVIN MORE,,
EP0780641,26.06.1997,COOKER,"[18908995 1995-07-25T23:59:59.000Z JP, 9602087 1996-07-25T23:59:59.000Z JP]",H05B 6/68;F24C 7/02;F24C 7/02;H05B 6/68,SANYO ELECTRIC CO,UEHASHI HIROYUKI;TANAKA KAZUKO,
EP1029805,24.08.2000,Partially shielded microwave heating container,"[97105788 1997-04-08T23:59:59.000Z EP, 65216696 1996-05-23T23:59:59.000Z US]",B65D 5/66;B65D 81/34;B65D 5/4805;B65D 5/48;B65D 5/66;B65D 81/34,GRAPHIC PACKAGING CORP,LAFFERTY TERRANCE P;CAPO JAMES L,
EP1225814,01.08.2002,FIBROUS-LIPONUTRITIONAL COMPLEXES AND COMPOSITIONS CONTAINING THEM,"[0010500 2000-10-25T23:59:59.000Z EP, MI20001622 2000-07-18T23:59:59.000Z IT, MI992263 1999-10-29T23:59:59.000Z IT]",A23L 1/30;A23L 1/308;A23L 1/29;A61K 9/00;A23J 7/00;A23L 1/305;A23L 1/30;A23J 7/00;A23L 1/302;A23L 1/303;A23L 1/305;A23L 1/308;A61K 31/375;A61K 31/683;A61K 31/685;A61K 31/702;A61K 31/715;A61K 31/722;A61K 35/12;A61K 36/00;A61K 36/899;A61K 38/00;A61K 38/17;A61K 45/00;A61P 3/02,HUNZA DI PISTOLESI ELVIRA E C,PISTOLESI ELVIRA;CESTARO BENVENUTO,
EP1197342,18.04.2002,Method for identifying a print media type,"[98304427 1998-06-04T23:59:59.000Z EP, 87108097 1997-06-09T23:59:59.000Z US]",B41J 11/46;B41J 15/00;B41J 2/01;B41J 11/70;B41J 11/00;B41J 11/42;B41J 11/46;B41J 11/66;B41J 11/70;B41J 21/00;B41J 21/16;B41J 29/38;B41J 29/40,HEWLETT PACKARD CO,SMITH JAMES C,
EP1333723,14.08.2003,APPARATUS FOR MAKING A FOOD PRODUCT,"[0109900 2001-11-13T23:59:59.000Z JP, 2000347220 2000-11-14T23:59:59.000Z JP]",A21C 7/02;A21C 15/04;A21B 3/13;A21C 11/10;A21C 11/16;A21D 8/00,RHEON AUTOMATIC MACHINERY CO,MORITO TOSHIMITSU;SAKAI YOSHITAKA,
EP1576886,22.09.2005,Mozzarella-type string cheese product,[04006331 2004-03-17T23:59:59.000Z EP],A23C 19/06;A23C 19/068;A23C 19/00;A23C 19/08;A23C 19/09;A23C 20/00;A23L,KRAFT FOODS R & D INC,SCHROEDER ANGELA;SCHMID THOMAS;CORTES MARTINEZ EDUARDO;WOLFSCHOON-POMBO ALAN;MEHNERT DAVID,
EP0451491,17.10.1991,BARRIER COATING FOR FOOD PRODUCTS,[9007993 1990-04-09T23:59:59.000Z GB],A23P 1/08;A23L 1/00,SOCIETE DES PRODUITS NESTLE S.A.,"DAVIS, DAVID JOHN LAWRENCE;GIBBS, VERNON",
EP0437344,18.07.1991,Microwave oven,[46327990 1990-01-10T23:59:59.000Z US],H05B 6/80;G07F 9/10;A23L 1/01;A21B 1/24;B65D 81/34;F24C 15/32;G07F 9/10;G07F 11/70;H05B 6/64;H05B 6/80,ENERSYST DEV CT INC,SMITH DONALD P;DOBIE MICHAEL J;SPARMAN ALDEN R SR;NORRIS JOHN R,
EP0312643,27.04.1989,Conveyors.,[87115603 1987-10-23T23:59:59.000Z EP],B65G 21/02;B65G 23/44;B65G 15/00;B65G 15/32;B65G 21/02;B65G 21/06;B65G 21/10;B65G 21/14;B65G 23/44,FRISCO FINDUS AG,LOEFBERG LARS C,
EP0255104,04.02.1988,ROTARY COOKING APPARATUS TO INDIVIDUALLY COOK A LARGE NUMBER OF FOOD PORTIONS,[2132986 1986-07-30T23:59:59.000Z IT],A47J 37/04;A47J 27/14;A47J 27/14;A47J 37/04,"GUSBERTI, EMILIO","GUSBERTI, EMILIO",
EP0267630,19.05.1988,ANTIOXIDANT COMPOSITION,"[56167883 1983-12-15T23:59:59.000Z US, 62075484 1984-06-14T23:59:59.000Z US]",A23F 3/16;A23F 3/16;A23F 3/18;A23F 3/18;A23L 3/34;A23L 1/00;C11B 5/00;A23L 3/3463;C11B 5/00,SOCIETE DES PRODUITS NESTLE S.A.,"CHAMBERS, LAURA JO;MAI, JIMBIN;MCDONALD, RICHARD E.",
EP2603025,13.06.2013,Apparatus and method for secure storage of private information on a mobile terminal and control of private information transmitted by the mobile terminal,[201113311919 2011-12-06T23:59:59.000Z US],H04W 12/06;G06F 21/62;H04L 29/06;H04W 12/08,SAMSUNG ELECTRONICS CO LTD,LEE HOWARD Z,
EP2468468,28.06.2012,"STRUCTURAL PROFILE MEMBERS FOR PRODUCING HOUSEHOLD UTENSILS, AND METHOD FOR PRODUCING SAID PROFILE MEMBERS","[200930601 2009-08-17T23:59:59.000Z ES, 2010070427 2010-06-24T23:59:59.000Z ES]",B29B 17/00;A47L 13/022;B29C 47/36;B62B 1/00;D06F 57/00;D06F 83/00,SP KLONER ECOTEC S L,CAMPOS BECEIRO ALBERTO,
EP1011082,22.06.2000,Vending machine with microwave heating,"[91300136 1991-01-09T23:59:59.000Z EP, 46327990 1990-01-10T23:59:59.000Z US]",H05B 6/80;G07F 9/10;A23L 1/01;H05B 6/64;A21B 1/24;B65D 81/34;F24C 15/32;G07F 9/10;G07F 11/70;H05B 6/64;H05B 6/80,ENERSYST DEV CT INC,SMITH DONALD P;DOBIE MICHAEL J;SPARMAN ALDEN B SR;NORRIS JOHN R,
EP1011297,22.06.2000,Microwave vending machine,"[91300136 1991-01-09T23:59:59.000Z EP, 46327990 1990-01-10T23:59:59.000Z US]",A23L 1/01;H05B 6/64;A21B 1/24;B65D 81/34;F24C 15/32;G07F 9/10;G07F 11/70;H05B 6/80,ENERSYST DEV CT INC,SMITH DONALD P;DOBIE MICHAEL J;SPARMAN SR ALDEN B;NORRIS JOHN R,
EP0875468,05.11.1998,Microwave package,[9708635 1997-04-28T23:59:59.000Z GB],B65D 81/34;B65D 81/34,GEEST PLC,WATSON MIKE,
EP0781687,03.07.1997,Food warming arrangement for a food-delivering motor vehicle,[57810895 1995-12-26T23:59:59.000Z US],B60N 3/16;A47J 47/14;B60N 3/16,RIAL JOSE ANTONIO,RIAL JOSE ANTONIO,
EP0761101,13.03.1997,A method for making cheese or a cheese-like product and cheese or cheese-like product obtained thereby,[1001132 1995-09-05T23:59:59.000Z NL],A23C 19/055;A23C 19/05;A23C 19/032;A23C 19/09;A23C 19/05;A23C 20/00,FOOD CREATIONS B V,KODDE MARINUS WILLEM;KOMEN JOHANNES PETRUS MARIA,
EP1474004,11.11.2004,METHOD FOR PREPARING CHEESE PRODUCTS AND CHEESE PRODUCT OBTAINABLE ACCORDING TO SAID METHOD,[0200057 2002-01-25T23:59:59.000Z NL],A23C 19/09;A23C 19/086;A23C 19/14,JEFFRY RAYMOND STEVE DELHAYE,JEFFRY RAYMOND STEVE DELHAYE,
